lastUpdated,title,url
" This page was last edited on 2 February 2024, at 04:27","([],)",https://en.wikipedia.org/wiki/Kevin_Bacon
" This page was last edited on 1 February 2024, at 06:43","([],)",https://en.wikipedia.org/wiki/Michael_Bacon_(musician)
" This page was last edited on 10 November 2023, at 20:01","([],)",https://en.wikipedia.org/wiki/Leading_man
" This page was last edited on 12 June 2022, at 14:34","([],)",https://en.wikipedia.org/wiki/Kevin_Bacon_(disambiguation)
" This page was last edited on 12 December 2023, at 23:59","([],)",https://en.wikipedia.org/wiki/Main_Page
" This page was last edited on 22 December 2023, at 20:49","([],)",https://en.wikipedia.org/wiki/Sosie_Bacon
" This page was last edited on 22 December 2023, at 17:28","([],)",https://en.wikipedia.org/wiki/Kevin_Bacon_filmography
" This page was last edited on 26 December 2023, at 21:34","([],)",https://en.wikipedia.org/wiki/Edmund_Bacon_(architect)
" This page was last edited on 15 January 2024, at 15:17","([],)",https://en.wikipedia.org/wiki/Character_actor
" This page was last edited on 11 February 2024, at 07:42","([],)",https://en.wikipedia.org/wiki/Kyra_Sedgwick
" This page was last edited on 2 February 2024, at 18:28","([],)",https://en.wikipedia.org/wiki/Golden_Globe_Award
" This page was last edited on 30 January 2024, at 03:08","([],)",https://en.wikipedia.org/wiki/Sam_Elliott
" This page was last edited on 15 February 2024, at 18:03","([],)",https://en.wikipedia.org/wiki/Primetime_Emmy_Award
" This page was last edited on 14 February 2024, at 22:39", (1984 film),https://en.wikipedia.org/wiki/Footloose_(1984_film)
" This page was last edited on 13 February 2024, at 09:14","([],)",https://en.wikipedia.org/wiki/Screen_Actors_Guild_Award
" This page was last edited on 15 February 2024, at 07:14","([],)",https://en.wikipedia.org/wiki/Sam_Rockwell
" This page was last edited on 8 February 2024, at 10:23","([<Selector query='//h1/i/text()' data='Animal House'>],)",https://en.wikipedia.org/wiki/National_Lampoon%27s_Animal_House
" This page was last edited on 4 February 2024, at 00:29","([],)",https://en.wikipedia.org/wiki/Philadelphia
" This page was last edited on 17 August 2022, at 12:52","([],)",https://en.wikipedia.org/wiki/Nigel_Noble
" This page was last edited on 22 October 2022, at 21:35", (American TV series),https://en.wikipedia.org/wiki/Gold_Fever_(American_TV_series)
" This page was last edited on 4 February 2024, at 12:08", (American TV program),https://en.wikipedia.org/wiki/Nova_(American_TV_series)
" This page was last edited on 28 January 2024, at 17:48","([],)",https://en.wikipedia.org/wiki/Ann_Wyeth_McCoy
